Application ID,Perm Number,First Name,Middle Name,Last Name,Previous Name,Gender,Email,Mailing Phone,Permanent Phone,Major1,Objective1,Emphasis1,Major2,Objective2,Emphasis2,DOB,Submitted Date,Paid,Application Quarter,Research Interests,Faculty Interests,Citizenship Country,Residency Country,Birth Country,California Resident,Visa,CA High School,Military Service,Background,Category,Hispanic Latino,UG1 Name,UG1 Location,UG1 GPA,UG1 GPA Confirmed,UG1 Letter Grade,UG1 GPA Scale,UG1 Major,UG1 GPA Dept Calculation,UG1 Degree Awarded,UG1 Transcript Received,GD1 Name,GD1 Location,GD1 GPA,GD1 GPA Confirmed,GD1 Letter Grade,GD1 GPA Scale,GD1 Degree Awarded,GD1 Transcript Received,GD1 GPA Dept Calculation,GRE Registration Number,GRE Exam Date,GRE Matched,GRE V,GRE V Percent,GRE Q,GRE Q Percent,GRE W,GRE W Percent,GRE Subject Registration Number,GRE Subject Exam Date,GRE Subject Matched,GRE Subject Overall Score,GRE Subject Overall Percent,TOEFL Paper Registration Number,TOEFL Paper Exam Date,TOEFL Paper Matched,TOEFL Paper Listening Score,TOEFL Paper Writing Score,TOEFL Paper Reading Score,TOEFL Paper Total Score,TOEFL Paper Spoken English Score,TOEFL Paper Writtenen English Score,TOEFL Registration Number,TOEFL Exam Date,TOEFL Matched,TOEFL Reading Score,TOEFL Listening Score,TOEFL Speaking Score,TOEFL Writing Score,TOEFL Total Score,IELTS Registration Number,IELTS Exam Date,IELTS Matched,IELTS Listening Score,IELTS Reading Score,IELTS Writing Score,IELTS Speaking Score,IELTS Overall,Registration Number,MAT Exam Date,MAT Matched,MAT Score,LOR1 Name,LOR1 Title,LOR1 Institution,LOR1 Intellectual Ability,LOR1 Imagination Creativity,LOR1 Oral Expression,LOR1 Writing Ability,LOR2 Name,LOR2 Title,LOR2 Institution,LOR2 Intellectual Ability,LOR2 Imagination Creativity,LOR2 Oral Expression,LOR2 Writing Ability,LOR3 Name,LOR3 Title,LOR3 Institution,LOR3 Intellectual Ability,LOR3 Imagination Creativity,LOR3 Oral Expression,LOR3 Writing Ability,LOR4 Name,LOR4 Title,LOR4 Institution,LOR4 Intellectual Ability,LOR4 Imagination Creativity,LOR4 Oral Expression,LOR4 Writing Ability,Personal Funding,External Finances,External Agency,External Support Duration,External Award Tuition,External Award Non Resident,External Award Stipend,External Award Other,Stipend Amount,Other Award Type,Decision,Decision Notes,SIR,SIR Date,SIR Reason,School Attending,Queue,Categories
58,85489,James,D,Caddell,Merilyn,M,JamesC@gmail.com,6819945165,4410978404,Statistics,MA in Statistics,Mathematics Education,Economics,MS in Financial Math,Mathematics Education,3/7/94,7/13/17,Y,Fall 2018,Biomedical modeling,Shaquita,United States,United States,United States,Y,Not applicable,Pacific Collegiate Charter,Active Duty,U.S. / African American,African American / Black,N,UCB,NY,3.44,NA,NA,NA,Statistics,NA,BS,NA,N,N,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,77,157,60,160,60,NA,NA,NA,933,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,27,26,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professor,NA,Top 5%,Top 5%,Top 10%,Top 10%,NA,Professor,NA,Top 5%,Top 5%,Top 10%,Top 10%,NA,Professor,NA,Top 5%,Top 5%,Top 10%,Top 10%,NA,Professor,NA,Top 5%,Top 5%,Top 10%,Top 10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA
27,20666,Iva,A,Hongo,Daniel,F,IvaH@gmail.com,4726733365,7688528965,Economics,MS in Statistics,Life Sciences,Mathematics,MS in Financial Math,Mathematics Education,7/17/98,12/8/17,N,Summer 2018,Number Theory,Lissette,China,United States,China,N,N,Not applicable,Not Applicable,Chinese / Chinese American,Asian / Asian American,Y,UCSB,CA,3.18,NA,NA,NA,Physics,NA,BA,NA,BU,MN,3.32,NA,NA,NA,MS,NA,NA,NA,NA,NA,138,99,144,69,140,77,NA,NA,NA,923,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,30,21,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Assistant Professor,NA,Top 5%,Top 5%,Top 5%,Top 5%,NA,Assistant Professor,NA,Top 5%,Top 5%,Top 5%,Top 5%,NA,Assistant Professor,NA,Top 5%,Top 5%,Top 5%,Top 5%,NA,Assistant Professor,NA,Top 5%,Top 5%,Top 5%,Top 5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA
41,35925,Cameron,G,Pilz,Scott,M,CameronP@gmail.com,7651236647,1900283493,Physics,MS in Financial Math,Applied Mathematics,N,N,N,9/17/99,11/6/17,Y,Spring 2019,Knot Theory,Vernie,United States,United States,United States,Y,Not applicable,Oxford Academy,Active Duty,Middle Eastern / Middle Eastern American,White / Caucasian,N,UCI,NC,3.07,NA,NA,NA,Mathematics,NA,BS,NA,UO,MO,3.11,NA,NA,NA,MA,NA,NA,NA,NA,NA,156,53,147,60,154,94,NA,NA,NA,715,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,21,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Instructor,NA,Top 5%,Top 50%,Top 80%,Top 80%,NA,Instructor,NA,Top 5%,Top 50%,Top 80%,Top 80%,NA,Assistant Professor,NA,Top 5%,Top 50%,Top 80%,Top 80%,NA,Instructor,NA,Top 5%,Top 50%,Top 80%,Top 80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA
96,37568,Britany,T,Bran,Jefferey,M,BritanyB@gmail.com,7062877560,6191292760,Chemistry,MA in Statistics,Economics or Business,N,N,N,7/27/98,9/25/17,Y,Winter 2019,PDE,Sunni,France,United States,France,N,Y,Not applicable,Not Applicable,Middle Eastern / Middle Eastern American,White / Caucasian,Y,UCSD,WA,3.43,NA,NA,NA,Actuarial Science,NA,BS,NA,USC,OH,3.33,NA,NA,NA,MS,NA,NA,NA,NA,NA,146,64,137,61,159,70,NA,NA,NA,713,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,21,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internship Supervisor,NA,Top 20%,Top 5%,Top 10%,Top 10%,NA,Internship Supervisor,NA,Top 20%,Top 5%,Top 10%,Top 10%,NA,Instructor,NA,Top 20%,Top 5%,Top 10%,Top 10%,NA,Internship Supervisor,NA,Top 20%,Top 5%,Top 10%,Top 10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA
57,82754,Dante,V,Jacquez,Basilia,F,DanteJ@gmail.com,2038324176,6412631846,Statistics,MA in Statistics,Comprehensive,N,N,N,1/6/96,8/26/17,Y,Fall 2018,Complex Analysis,Tashia,United States,United States,United States,Y,Not applicable,KIPP San Jose Collegiate,National Guard,U.S. / African American,African American / Black,N,UCD,WA,3.47,NA,NA,NA,Physics,NA,BS,NA,UCR,FL,3.43,NA,NA,NA,MS,NA,NA,NA,NA,NA,165,61,141,89,167,95,NA,NA,NA,938,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,27,24,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Research Advisor,NA,Top 50%,Top 5%,Top 20%,Top 20%,NA,Research Advisor,NA,Top 50%,Top 5%,Top 20%,Top 20%,NA,Research Advisor,NA,Top 50%,Top 5%,Top 20%,Top 20%,NA,Research Advisor,NA,Top 50%,Top 5%,Top 20%,Top 20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA
26,78164,Samantha,I,Digerolamo,Chanel,F,SamanthaD@gmail.com,7153313204,1598584206,Biology,MS in Math,Life Sciences,Computer Science,MS in Financial Math,Mathematics Education,10/21/93,9/12/17,N,Fall 2018,Number Theory,Tera,United States,United States,United States,N,Not applicable,Not applicable,National Guard,Middle Eastern / Middle Eastern American,White / Caucasian,Y,HU,WA,2.94,NA,NA,NA,Mathematics,NA,BA,NA,UCLA,CA,3.63,NA,NA,NA,MA,NA,NA,NA,NA,NA,156,51,131,89,133,99,NA,NA,NA,882,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,30,28,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internship Supervisor,NA,Top 10%,Top 50%,Top 10%,Top 10%,NA,Internship Supervisor,NA,Top 10%,Top 50%,Top 10%,Top 10%,NA,Instructor,NA,Top 10%,Top 50%,Top 10%,Top 10%,NA,Internship Supervisor,NA,Top 10%,Top 50%,Top 10%,Top 10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA
14,16773,Fermin,K,Prochnow,Elizebeth,F,FerminP@gmail.com,6585920389,3474325962,Finance,MS in Math,Applied Mathematics,Statistics,MS in Financial Math,Mathematics Education,7/16/95,10/11/17,N,Spring 2019,Number Theory,Guillermo,France,France,France,Y,Y, Lowell High School,Not Applicable,European / European American,White / Caucasian,N,BU,CA,3.6,NA,NA,NA,Finance,NA,BA,NA,N,N,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,91,150,88,162,95,NA,NA,NA,774,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,30,23,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Research Advisor,NA,Top 5%,Top 5%,Top 10%,Top 10%,NA,Research Advisor,NA,Top 5%,Top 5%,Top 10%,Top 10%,NA,Assistant Professor,NA,Top 5%,Top 5%,Top 10%,Top 10%,NA,Research Advisor,NA,Top 5%,Top 5%,Top 10%,Top 10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA
98,87843,Tonie,R,Laskowitz,Marguerita,F,TonieL@gmail.com,9032737971,8856652700,Computer Science,MA in Statistics,Applied Mathematics,None,None,None,6/12/99,11/15/17,Y,Fall 2018,Number Theory,Kareem,United States,United States,United States,Y,Not applicable,Not applicable,Reservist,U.S. / African American,African American / Black,N,UO,WV,2.8,NA,NA,NA,Accounting,NA,BA,NA,UCSD,IL,3.21,NA,NA,NA,MS,NA,NA,NA,NA,NA,64%,82%,162,84%,161,100%,NA,NA,NA,985,96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,20,28,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professor,NA,Top 5%,Top 80%,Top 5%,Top 5%,NA,Professor,NA,Top 5%,Top 80%,Top 5%,Top 5%,NA,Professor,NA,Top 5%,Top 80%,Top 5%,Top 5%,NA,Professor,NA,Top 5%,Top 80%,Top 5%,Top 5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA
27,84444,Renate,B,Mishkin,Jarrod,F,RenateM@gmail.com,3203690298,9969997359,Biology,MA in Financial Math,Life Sciences,None,None,None,7/25/98,7/31/17,Y,Fall 2018,Number Theory,Sydney,United States,United States,United States,N,Not applicable,Not applicable,Not Applicable,U.S. / African American,African American / Black,N,BU,KY,3.01,NA,NA,NA,Computer Science,NA,BA,NA,UCI,OH,3.79,NA,NA,NA,MS,NA,NA,NA,NA,NA,53%,84%,166,78%,164,58%,NA,NA,NA,780,88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,29,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Professor,NA,Top 10%,Top 10%,Top 5%,Top 5%,NA,Professor,NA,Top 10%,Top 10%,Top 5%,Top 5%,NA,Professor,NA,Top 10%,Top 10%,Top 5%,Top 5%,NA,Professor,NA,Top 10%,Top 10%,Top 5%,Top 5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA
53,17827,Birdie,C,Wallis,Kendra,M,BirdieW@gmail.com,5514607457,9217521798,Physics,MS in Statistics,Life Sciences,None,None,None,11/5/93,1/10/18,Y,Fall 2018,Biomedical modeling,Lavonna,Korea,United States,Korea,N,Y,Not applicable,Not Applicable,Korean / Korean American,Asian / Asian American,N,USC,NY,2.9,NA,NA,NA,Chemistry,NA,BS,NA,None,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,67%,81%,135,56%,150,81%,NA,NA,NA,846,81%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Instructor,NA,Top 10%,Top 20%,Top 80%,Top 5%,NA,Instructor,NA,Top 10%,Top 20%,Top 80%,Top 5%,NA,Internship Supervisor,NA,Top 10%,Top 20%,Top 80%,Top 5%,NA,Instructor,NA,Top 10%,Top 20%,Top 80%,Top 5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA
